"seller","day_of_week","income"
Morningstar Greene,Monday   ,67381290
Marjorie Green,Monday   ,97539868
Ann Dull,Monday   ,39656842
Albert Ringer,Monday   ,392378037
Innes del Castillo,Monday   ,260992756
Reginald Blotchet-Halls,Monday   ,103178571
Sheryl Hunter,Monday   ,153301531
Johnson White,Monday   ,98560781
Cheryl Carson,Monday   ,77977656
Heather McBadden,Monday   ,293014643
Charlene Locksley,Monday   ,108450662
Michael O'Leary,Monday   ,138096277
Livia Karsen,Monday   ,132386625
Sylvia Panteley,Monday   ,96399427
Dean Straight,Monday   ,192550177
Abraham Bennet,Monday   ,231845241
Meander Smith,Monday   ,52160238
Michel DeFrance,Monday   ,479584920
Stearns MacFeather,Monday   ,30778276
Dirk Stringer,Monday   ,759341454
Burt Gringlesby,Monday   ,118429815
Anne Ringer,Monday   ,53386960
Burt Gringlesby,Tuesday  ,114454017
Meander Smith,Tuesday  ,63913954
Heather McBadden,Tuesday  ,267891418
Morningstar Greene,Tuesday  ,67737440
Charlene Locksley,Tuesday  ,102419645
Livia Karsen,Tuesday  ,145696077
Sylvia Panteley,Tuesday  ,99289901
Michael O'Leary,Tuesday  ,125258270
Dean Straight,Tuesday  ,183459091
Dirk Stringer,Tuesday  ,734550037
Cheryl Carson,Tuesday  ,76905547
Stearns MacFeather,Tuesday  ,31056505
Sheryl Hunter,Tuesday  ,163754750
Marjorie Green,Tuesday  ,102488970
Reginald Blotchet-Halls,Tuesday  ,89298153
Innes del Castillo,Tuesday  ,285473369
Johnson White,Tuesday  ,100275590
Abraham Bennet,Tuesday  ,259058032
Michel DeFrance,Tuesday  ,467420386
Anne Ringer,Tuesday  ,55417862
Ann Dull,Tuesday  ,38097807
Albert Ringer,Tuesday  ,419021705
Marjorie Green,Wednesday,94949352
Burt Gringlesby,Wednesday,119047498
Sylvia Panteley,Wednesday,85876350
Cheryl Carson,Wednesday,66729906
Stearns MacFeather,Wednesday,24953854
Johnson White,Wednesday,89036568
Dean Straight,Wednesday,168092851
Anne Ringer,Wednesday,46106241
Michel DeFrance,Wednesday,439203900
Morningstar Greene,Wednesday,64838804
Charlene Locksley,Wednesday,106731411
Ann Dull,Wednesday,35589006
Michael O'Leary,Wednesday,134525040
Livia Karsen,Wednesday,156662691
Abraham Bennet,Wednesday,214842815
Albert Ringer,Wednesday,403718425
Reginald Blotchet-Halls,Wednesday,80548671
Dirk Stringer,Wednesday,642376642
Heather McBadden,Wednesday,249479672
Innes del Castillo,Wednesday,245730067
Sheryl Hunter,Wednesday,140290965
Meander Smith,Wednesday,49655899
Morningstar Greene,Thursday ,61407061
Livia Karsen,Thursday ,168820566
Sheryl Hunter,Thursday ,148434253
Sylvia Panteley,Thursday ,91590683
Innes del Castillo,Thursday ,247744631
Michel DeFrance,Thursday ,481154816
Reginald Blotchet-Halls,Thursday ,89971577
Abraham Bennet,Thursday ,226133920
Dirk Stringer,Thursday ,693463720
Albert Ringer,Thursday ,405676715
Michael O'Leary,Thursday ,130193802
Cheryl Carson,Thursday ,70730736
Meander Smith,Thursday ,56688841
Dean Straight,Thursday ,182913507
Burt Gringlesby,Thursday ,103250742
Stearns MacFeather,Thursday ,22585496
Heather McBadden,Thursday ,289587875
Ann Dull,Thursday ,36627441
Anne Ringer,Thursday ,55678731
Johnson White,Thursday ,91715664
Marjorie Green,Thursday ,90204716
Charlene Locksley,Thursday ,102081557
Morningstar Greene,Friday   ,62929144
Reginald Blotchet-Halls,Friday   ,96796981
Heather McBadden,Friday   ,245868793
Cheryl Carson,Friday   ,80473505
Sylvia Panteley,Friday   ,91390800
Marjorie Green,Friday   ,99954936
Abraham Bennet,Friday   ,233935361
Dean Straight,Friday   ,176048824
Stearns MacFeather,Friday   ,28022436
Livia Karsen,Friday   ,172939429
Sheryl Hunter,Friday   ,158669557
Burt Gringlesby,Friday   ,109360163
Charlene Locksley,Friday   ,97761374
Innes del Castillo,Friday   ,231816497
Anne Ringer,Friday   ,51753352
Albert Ringer,Friday   ,357492148
Ann Dull,Friday   ,37433122
Michael O'Leary,Friday   ,142326764
Johnson White,Friday   ,91757929
Michel DeFrance,Friday   ,473980678
Dirk Stringer,Friday   ,672023523
Meander Smith,Friday   ,53551957
Sheryl Hunter,Saturday ,143802265
Michael O'Leary,Saturday ,131118669
Meander Smith,Saturday ,53094397
Sylvia Panteley,Saturday ,87097890
Michel DeFrance,Saturday ,480574641
Marjorie Green,Saturday ,95303142
Stearns MacFeather,Saturday ,27623848
Ann Dull,Saturday ,37658782
Livia Karsen,Saturday ,142421334
Albert Ringer,Saturday ,359055422
Dirk Stringer,Saturday ,724561952
Morningstar Greene,Saturday ,64598714
Charlene Locksley,Saturday ,100507641
Heather McBadden,Saturday ,260891531
Johnson White,Saturday ,91955960
Anne Ringer,Saturday ,48579237
Innes del Castillo,Saturday ,245765313
Abraham Bennet,Saturday ,219357051
Burt Gringlesby,Saturday ,108212068
Cheryl Carson,Saturday ,69224918
Dean Straight,Saturday ,176094743
Reginald Blotchet-Halls,Saturday ,92451664
Dirk Stringer,Sunday   ,698820601
Reginald Blotchet-Halls,Sunday   ,80496472
Marjorie Green,Sunday   ,104815534
Meander Smith,Sunday   ,56678279
Albert Ringer,Sunday   ,362985486
Innes del Castillo,Sunday   ,244679491
Heather McBadden,Sunday   ,266458384
Morningstar Greene,Sunday   ,68473053
Cheryl Carson,Sunday   ,69553595
Ann Dull,Sunday   ,34138287
Stearns MacFeather,Sunday   ,27431434
Burt Gringlesby,Sunday   ,112782280
Charlene Locksley,Sunday   ,93745116
Michael O'Leary,Sunday   ,125981634
Dean Straight,Sunday   ,176873005
Michel DeFrance,Sunday   ,438321488
Johnson White,Sunday   ,88933984
Sheryl Hunter,Sunday   ,148514539
Anne Ringer,Sunday   ,49050828
Livia Karsen,Sunday   ,137975384
Sylvia Panteley,Sunday   ,95337213
Abraham Bennet,Sunday   ,232328748
