"seller","operations","income"
Dirk Stringer,1678068,4925137932
Michel DeFrance,2749910,3260240833
Albert Ringer,3209517,2700327941
Heather McBadden,1906916,1873192318
Innes del Castillo,2355432,1762202127
Abraham Bennet,4943645,1617501169
Dean Straight,2035128,1256032202
Livia Karsen,1254121,1056902108
Sheryl Hunter,1839250,1056767862
Michael O'Leary,2179102,927500459
Burt Gringlesby,2226877,785536586
Charlene Locksley,2502165,711697410
Marjorie Green,3064047,685256521
Johnson White,3221430,652236479
Sylvia Panteley,1908336,646982266
Reginald Blotchet-Halls,2011362,632742092
Cheryl Carson,1477020,511595867
Morningstar Greene,1684755,457365510
Meander Smith,1083307,385743568
Anne Ringer,1114507,359973213
Ann Dull,3424364,259201290
Stearns MacFeather,1638358,192451852
